Location,Type,Latitude,Longitude
Port of Zeebrugge,Major port / Hâ‚‚ entry,51.3290,3.2074
Antwerp,Port & logistics hub,51.2194,4.4025
Ghent,Industrial hub,51.0543,3.7174
Bruges,Regional hub,51.2093,3.2247
Ostend,Coastal logistics,51.2300,2.9125
Kortrijk,Cross-border freight,50.8280,3.2649
Roeselare,Agro-logistics,50.9492,3.1305
Hasselt,Eastern hub,50.9307,5.3325
Genk,Industrial logistics,50.9660,5.5000
Leuven,Knowledge & freight,50.8798,4.7005
Mechelen,Midway hub,51.0259,4.4775
Aalst,Regional node,50.9360,4.0355
Sint-Niklaas,Logistics corridor,51.1650,4.1436
Turnhout,North-east hub,51.3225,4.9444
Dendermonde,River logistics,51.0287,4.1019
Lokeren,Freight junction,51.1036,3.9958
Waregem,Industrial node,50.8880,3.4265
Tielt,Regional distribution,50.9993,3.3270
