node,neighbor,mode,mode_type,capacity_kg,cost,co2_kg,time_hours,distance_km,effective_speed_kmh,road_class,lanes,speed_limit_kmh,max_speed_kmh,avg_slope_pct,max_slope_pct,morning_congestion_pct,offpeak_congestion_pct,morning_avg_speed_kmh,offpeak_avg_speed_kmh,avg_curvature_deg_km,max_curvature_deg
S0,5,truck,small,350,0.01,0.0,0.0001,0.005,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
S0,5,truck,medium,1000,0.01,0.0,0.0001,0.005,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
S0,5,truck,heavy,4000,0.01,0.0,0.0001,0.005,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
S1,20,truck,small,350,0.12,0.01,0.002,0.098,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,515.33,13.74
S1,20,truck,medium,1000,0.18,0.02,0.002,0.098,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,515.33,13.74
S1,20,truck,heavy,4000,0.24,0.04,0.002,0.098,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,515.33,13.74
5,6,truck,small,350,5.76,0.72,0.096,4.801,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,176.51,178.25
5,6,truck,medium,1000,8.64,1.2,0.096,4.801,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,176.51,178.25
5,6,truck,heavy,4000,12.0,1.92,0.096,4.801,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,176.51,178.25
6,23,truck,small,350,7.05,0.88,0.1174,5.872,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,146.18,84.78
6,23,truck,medium,1000,10.57,1.47,0.1174,5.872,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,146.18,84.78
6,23,truck,heavy,4000,14.68,2.35,0.1174,5.872,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,146.18,84.78
6,69,truck,small,350,0.57,0.07,0.0095,0.474,50.0,tertiary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,382.26,72.14
6,69,truck,medium,1000,0.85,0.12,0.0095,0.474,50.0,tertiary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,382.26,72.14
6,69,truck,heavy,4000,1.19,0.19,0.0095,0.474,50.0,tertiary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,382.26,72.14
7,25,truck,small,350,2.64,0.33,0.044,2.202,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,88.05,17.78
7,25,truck,medium,1000,3.96,0.55,0.044,2.202,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,88.05,17.78
7,25,truck,heavy,4000,5.5,0.88,0.044,2.202,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,88.05,17.78
7,73,truck,small,350,0.68,0.09,0.0114,0.57,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,175.19,14.44
7,73,truck,medium,1000,1.03,0.14,0.0114,0.57,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,175.19,14.44
7,73,truck,heavy,4000,1.42,0.23,0.0114,0.57,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,175.19,14.44
8,9,truck,small,350,1.5,0.19,0.0249,1.246,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,87.15,33.85
8,9,truck,medium,1000,2.24,0.31,0.0249,1.246,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,87.15,33.85
8,9,truck,heavy,4000,3.12,0.5,0.0249,1.246,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,87.15,33.85
9,10,truck,small,350,1.04,0.13,0.0173,0.865,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,805.38,91.85
9,10,truck,medium,1000,1.56,0.22,0.0173,0.865,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,805.38,91.85
9,10,truck,heavy,4000,2.16,0.35,0.0173,0.865,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,805.38,91.85
9,27,truck,small,350,0.62,0.08,0.0103,0.517,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,543.17,79.08
9,27,truck,medium,1000,0.93,0.13,0.0103,0.517,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,543.17,79.08
9,27,truck,heavy,4000,1.29,0.21,0.0103,0.517,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,543.17,79.08
10,11,truck,small,350,1.66,0.21,0.0277,1.385,50.0,residential,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,96.96,47.9
10,11,truck,medium,1000,2.49,0.35,0.0277,1.385,50.0,residential,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,96.96,47.9
10,11,truck,heavy,4000,3.46,0.55,0.0277,1.385,50.0,residential,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,96.96,47.9
11,28,truck,small,350,1.32,0.17,0.0221,1.103,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,62.73,10.13
11,28,truck,medium,1000,1.99,0.28,0.0221,1.103,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,62.73,10.13
11,28,truck,heavy,4000,2.76,0.44,0.0221,1.103,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,62.73,10.13
11,74,truck,small,350,7.73,0.97,0.1289,6.444,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,83.9,59.77
11,74,truck,medium,1000,11.6,1.61,0.1289,6.444,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,83.9,59.77
11,74,truck,heavy,4000,16.11,2.58,0.1289,6.444,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,83.9,59.77
12,13,truck,small,350,1.69,0.21,0.0281,1.407,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,194.23,77.88
12,13,truck,medium,1000,2.53,0.35,0.0281,1.407,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,194.23,77.88
12,13,truck,heavy,4000,3.52,0.56,0.0281,1.407,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,194.23,77.88
12,31,truck,small,350,0.75,0.09,0.0124,0.621,50.0,trunk,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,302.28,77.88
12,31,truck,medium,1000,1.12,0.16,0.0124,0.621,50.0,trunk,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,302.28,77.88
12,31,truck,heavy,4000,1.55,0.25,0.0124,0.621,50.0,trunk,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,302.28,77.88
13,32,truck,small,350,2.51,0.31,0.0418,2.091,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,266.93,42.47
13,32,truck,medium,1000,3.76,0.52,0.0418,2.091,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,266.93,42.47
13,32,truck,heavy,4000,5.23,0.84,0.0418,2.091,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,266.93,42.47
13,75,truck,small,350,1.13,0.14,0.0188,0.939,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,273.03,42.47
13,75,truck,medium,1000,1.69,0.23,0.0188,0.939,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,273.03,42.47
13,75,truck,heavy,4000,2.35,0.38,0.0188,0.939,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,273.03,42.47
14,33,truck,small,350,3.62,0.45,0.0603,3.013,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,203.42,83.67
14,33,truck,medium,1000,5.42,0.75,0.0603,3.013,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,203.42,83.67
14,33,truck,heavy,4000,7.53,1.21,0.0603,3.013,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,203.42,83.67
14,77,truck,small,350,0.5,0.06,0.0084,0.419,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,203.73,13.02
14,77,truck,medium,1000,0.75,0.1,0.0084,0.419,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,203.73,13.02
14,77,truck,heavy,4000,1.05,0.17,0.0084,0.419,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,203.73,13.02
15,16,truck,small,350,8.05,1.01,0.1341,6.707,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,70.0,82.52
15,16,truck,medium,1000,12.07,1.68,0.1341,6.707,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,70.0,82.52
15,16,truck,heavy,4000,16.77,2.68,0.1341,6.707,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,70.0,82.52
15,34,truck,small,350,2.43,0.3,0.0404,2.022,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,67.47,82.52
15,34,truck,medium,1000,3.64,0.51,0.0404,2.022,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,67.47,82.52
15,34,truck,heavy,4000,5.05,0.81,0.0404,2.022,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,67.47,82.52
16,17,truck,small,350,4.47,0.56,0.0745,3.726,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,118.34,64.66
16,17,truck,medium,1000,6.71,0.93,0.0745,3.726,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,118.34,64.66
16,17,truck,heavy,4000,9.31,1.49,0.0745,3.726,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,118.34,64.66
17,37,truck,small,350,3.87,0.48,0.0646,3.228,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,65.31,22.95
17,37,truck,medium,1000,5.81,0.81,0.0646,3.228,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,65.31,22.95
17,37,truck,heavy,4000,8.07,1.29,0.0646,3.228,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,65.31,22.95
17,78,truck,small,350,17.25,2.16,0.2875,14.375,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,16.21,22.95
17,78,truck,medium,1000,25.88,3.59,0.2875,14.375,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,16.21,22.95
17,78,truck,heavy,4000,35.94,5.75,0.2875,14.375,50.0,primary,2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,16.21,22.95
18,39,truck,small,350,7.77,0.97,0.1296,6.479,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,70.27,48.27
18,39,truck,medium,1000,11.66,1.62,0.1296,6.479,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,70.27,48.27
18,39,truck,heavy,4000,16.2,2.59,0.1296,6.479,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,70.27,48.27
18,80,truck,small,350,0.7,0.09,0.0118,0.588,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,188.71,28.29
18,80,truck,medium,1000,1.06,0.15,0.0118,0.588,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,188.71,28.29
18,80,truck,heavy,4000,1.47,0.24,0.0118,0.588,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,188.71,28.29
19,96,truck,small,350,1.19,0.15,0.0199,0.993,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,352.57,71.96
19,96,truck,medium,1000,1.79,0.25,0.0199,0.993,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,352.57,71.96
19,96,truck,heavy,4000,2.48,0.4,0.0199,0.993,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,352.57,71.96
19,118,truck,small,350,0.59,0.07,0.0099,0.493,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,148.28,10.58
19,118,truck,medium,1000,0.89,0.12,0.0099,0.493,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,148.28,10.58
19,118,truck,heavy,4000,1.23,0.2,0.0099,0.493,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,148.28,10.58
20,21,truck,small,350,0.32,0.04,0.0053,0.263,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,745.71,67.58
20,21,truck,medium,1000,0.47,0.07,0.0053,0.263,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,745.71,67.58
20,21,truck,heavy,4000,0.66,0.11,0.0053,0.263,50.0,service,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,745.71,67.58
21,22,truck,small,350,0.53,0.07,0.0088,0.441,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,93.21,28.0
21,22,truck,medium,1000,0.79,0.11,0.0088,0.441,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,93.21,28.0
21,22,truck,heavy,4000,1.1,0.18,0.0088,0.441,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,93.21,28.0
22,19,truck,small,350,0.72,0.09,0.012,0.599,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,86.7,10.4
22,19,truck,medium,1000,1.08,0.15,0.012,0.599,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,86.7,10.4
22,19,truck,heavy,4000,1.5,0.24,0.012,0.599,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,86.7,10.4
22,96,truck,small,350,0.25,0.03,0.0042,0.209,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,440.38,16.09
22,96,truck,medium,1000,0.38,0.05,0.0042,0.209,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,440.38,16.09
22,96,truck,heavy,4000,0.52,0.08,0.0042,0.209,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,440.38,16.09
23,24,truck,small,350,0.67,0.08,0.0112,0.56,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,157.21,15.42
23,24,truck,medium,1000,1.01,0.14,0.0112,0.56,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,157.21,15.42
23,24,truck,heavy,4000,1.4,0.22,0.0112,0.56,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,157.21,15.42
24,7,truck,small,350,0.63,0.08,0.0105,0.527,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,270.47,47.16
24,7,truck,medium,1000,0.95,0.13,0.0105,0.527,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,270.47,47.16
24,7,truck,heavy,4000,1.32,0.21,0.0105,0.527,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,270.47,47.16
25,8,truck,small,350,4.21,0.53,0.0701,3.505,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,55.64,12.92
25,8,truck,medium,1000,6.31,0.88,0.0701,3.505,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,55.64,12.92
25,8,truck,heavy,4000,8.76,1.4,0.0701,3.505,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,55.64,12.92
25,26,truck,small,350,3.68,0.46,0.0613,3.067,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,28.85,12.25
25,26,truck,medium,1000,5.52,0.77,0.0613,3.067,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,28.85,12.25
25,26,truck,heavy,4000,7.67,1.23,0.0613,3.067,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,28.85,12.25
26,8,truck,small,350,0.53,0.07,0.0088,0.438,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,253.4,12.92
26,8,truck,medium,1000,0.79,0.11,0.0088,0.438,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,253.4,12.92
26,8,truck,heavy,4000,1.09,0.18,0.0088,0.438,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,253.4,12.92
27,10,truck,small,350,0.42,0.05,0.007,0.348,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,1248.29,91.85
27,10,truck,medium,1000,0.63,0.09,0.007,0.348,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,1248.29,91.85
27,10,truck,heavy,4000,0.87,0.14,0.007,0.348,50.0,living_street,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,1248.29,91.85
28,29,truck,small,350,1.83,0.23,0.0306,1.528,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,190.76,59.77
28,29,truck,medium,1000,2.75,0.38,0.0306,1.528,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,190.76,59.77
28,29,truck,heavy,4000,3.82,0.61,0.0306,1.528,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,190.76,59.77
29,30,truck,small,350,2.13,0.27,0.0355,1.776,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,34.51,7.61
29,30,truck,medium,1000,3.2,0.44,0.0355,1.776,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,34.51,7.61
29,30,truck,heavy,4000,4.44,0.71,0.0355,1.776,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,34.51,7.61
30,12,truck,small,350,5.46,0.68,0.091,4.548,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,28.46,13.99
30,12,truck,medium,1000,8.19,1.14,0.091,4.548,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,28.46,13.99
30,12,truck,heavy,4000,11.37,1.82,0.091,4.548,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,28.46,13.99
30,74,truck,small,350,2.44,0.31,0.0407,2.037,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,51.5,13.99
30,74,truck,medium,1000,3.67,0.51,0.0407,2.037,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,51.5,13.99
30,74,truck,heavy,4000,5.09,0.81,0.0407,2.037,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,51.5,13.99
31,13,truck,small,350,0.94,0.12,0.0157,0.785,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,138.26,21.04
31,13,truck,medium,1000,1.41,0.2,0.0157,0.785,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,138.26,21.04
31,13,truck,heavy,4000,1.96,0.31,0.0157,0.785,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,138.26,21.04
32,14,truck,small,350,0.86,0.11,0.0143,0.713,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,75.76,6.56
32,14,truck,medium,1000,1.28,0.18,0.0143,0.713,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,75.76,6.56
32,14,truck,heavy,4000,1.78,0.29,0.0143,0.713,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,75.76,6.56
33,15,truck,small,350,1.78,0.22,0.0297,1.484,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,60.48,18.6
33,15,truck,medium,1000,2.67,0.37,0.0297,1.484,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,60.48,18.6
33,15,truck,heavy,4000,3.71,0.59,0.0297,1.484,50.0,secondary,1,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,60.48,18.6
